"ZipCode","Type","City","State","IsPrimaryCity"
"01655","Standard","WORCESTER","MA","1"
"01701","Standard","FRAMINGHAM","MA","1"
"01702","Standard","FRAMINGHAM","MA","1"
"01703","POBox","FRAMINGHAM","MA","1"
"01704","POBox","FRAMINGHAM","MA","1"
"01705","POBox","FRAMINGHAM","MA","1"
"01718","Standard","VILLAGE OF NAGOG WOODS","MA","1"
"01719","Standard","BOXBOROUGH","MA","1"
"01719","Standard","ACTON","MA","0"
"01719","Standard","BOXBORO","MA","0"
"01720","Standard","ACTON","MA","1"
"01721","Standard","ASHLAND","MA","1"
"01730","Standard","BEDFORD","MA","1"
"01731","Standard","HANSCOM AFB","MA","1"
"01731","Standard","BEDFORD","MA","0"
"01740","Standard","BOLTON","MA","1"
"01741","Standard","CARLISLE","MA","1"
"01742","Standard","CONCORD","MA","1"
"01745","Standard","FAYVILLE","MA","1"
"01746","Standard","HOLLISTON","MA","1"
"01747","Standard","HOPEDALE","MA","1"
"01748","Standard","HOPKINTON","MA","1"
"01749","Standard","HUDSON","MA","1"
"01752","Standard","MARLBOROUGH","MA","1"
"01754","Standard","MAYNARD","MA","1"
"01756","Standard","MENDON","MA","1"
"01757","Standard","MILFORD","MA","1"
"01760","Standard","NATICK","MA","1"
"01770","Standard","SHERBORN","MA","1"
"01772","Standard","SOUTHBOROUGH","MA","1"
"01773","Standard","LINCOLN","MA","1"
"01775","Standard","STOW","MA","1"
"01776","Standard","SUDBURY","MA","1"
"01778","Standard","WAYLAND","MA","1"
"01784","POBox","WOODVILLE","MA","1"
"01801","Standard","WOBURN","MA","1"
"01803","Standard","BURLINGTON","MA","1"
"01805","Unique","BURLINGTON","MA","1"
"01807","Unique","WOBURN","MA","1"
"01810","Standard","ANDOVER","MA","1"
"01812","Unique","ANDOVER","MA","1"
"01813","Unique","WOBURN","MA","1"
"01815","Unique","WOBURN","MA","1"
"01821","Standard","BILLERICA","MA","1"
"01822","POBox","BILLERICA","MA","1"
"01824","Standard","CHELMSFORD","MA","1"
"01824","Standard","KATES CORNER","MA","0"
"01824","Standard","S CHELMSFORD","MA","0"
"01826","Standard","DRACUT","MA","1"
"01827","Standard","DUNSTABLE","MA","1"
"01830","Standard","HAVERHILL","MA","1"
"01831","POBox","HAVERHILL","MA","1"
"01832","Standard","HAVERHILL","MA","1"
"01833","Standard","GEORGETOWN","MA","1"
"01833","Standard","HAVERHILL","MA","0"
"01834","Standard","GROVELAND","MA","1"
"01835","Standard","HAVERHILL","MA","1"
"01835","Standard","BRADFORD","MA","0"
"01835","Standard","WARD HILL","MA","0"
"01840","Standard","LAWRENCE","MA","1"
"01841","Standard","LAWRENCE","MA","1"
"01842","POBox","LAWRENCE","MA","1"
