Lender,MonthApproved,AvgPerJobAmount
"CRF SMALL BUSINESS LOAN COMPANY, LLC",JUNE,6300.0
B1BANK,APRIL,6264.0
"GATHER FCU",JULY,6222.39483333333
"ALPINE BANK",JUNE,6200.0
"DUNDEE BANK",APRIL,6200.0
"CELTIC BANK CORPORATION",APRIL,6187.4098190291
"CITY NATIONAL BANK",APRIL,6073.33333333333
"KAUA'I GOVERNMENT EMPLOYEES' FCU",AUGUST,6056.60333333333
"INTUIT FINANCING INC.",AUGUST,5862.57142857143
"EVOLVE BANK & TRUST",APRIL,5700.0
"INTUIT FINANCING INC.",MAY,5690.11111111111
"HAWAII FIRST FCU",MAY,5594.90847826087
"MECHANICS BANK",MAY,5592.0
"FIRST NATIONAL BANK",APRIL,5580.0
"NORTHEAST BANK",MAY,5575.33333333333
"HAWAII FIRST FCU",JUNE,5514.5
WEBBANK,JULY,5503.36363636364
"TERRITORIAL SAVINGS BANK",MAY,5375.16666666667
"FIRST NATIONAL BANK ALASKA",JULY,5365.82
"HORICON BANK",APRIL,5358.0
"FIRST NATIONAL BANK ALASKA",MAY,5261.25
"NORTHEAST BANK",JULY,5257.0
"VALLEY ISLE COMMUNITY FCU",MAY,5161.58666666667
"1ST FINANCIAL BANK USA",JULY,5125.0
"FOUNTAINHEAD SBF LLC",JULY,5121.0
"TIAA BANK, A DIVISION OF",APRIL,5083.75
"TIAA BANK, A DIVISION OF",JUNE,4925.61666666667
"HAPPY STATE BANK",APRIL,4925.0
"CITIZENS BANK, NATIONAL ASSOCIATION",MAY,4807.0
"FIRST GUARANTY BANK",JUNE,4792.0
"INDEPENDENT BANK",AUGUST,4766.0
"HOMESTREET BANK",MAY,4721.0
"FARM BUREAU BANK, FSB",JUNE,4688.0
"KEYBANK NATIONAL ASSOCIATION",MAY,4661.0
"MUFG UNION BANK, NATIONAL ASSOCIATION",APRIL,4640.0
"FARM BUREAU BANK, FSB",MAY,4637.0
"CUSTOMERS BANK",MAY,4600.0
"FIRST COMMAND BANK",MAY,4583.0
"PINNACLE BANK",MAY,4550.0
"NOTRE DAME FCU",APRIL,4500.0
"US EAGLE FCU",APRIL,4391.0
"PRESTAMOS CDFI, LLC",JULY,4323.32
"HANCOCK WHITNEY BANK",JUNE,4291.0
"FARM BUREAU BANK, FSB",APRIL,4284.2
"FIRST INTERSTATE BANK",APRIL,4245.1
"UMPQUA BANK",APRIL,4193.5
"COTTONWOOD COMMUNITY FCU",JUNE,4133.55
"FIRST BANK OF OWASSO",APRIL,4125.0
"FIRST NATIONAL BANK ALASKA",JUNE,4067.3
"NORTHRIM BANK",APRIL,4062.46323529412
"TRANSPORTATION ALLIANCE BANK, INC. D/B/A TAB BANK, INC.",APRIL,4000.0
"FOUNTAINHEAD SBF LLC",MAY,3991.0
"U.S. BANK, NATIONAL ASSOCIATION",AUGUST,3830.0
"AMERICA'S CHRISTIAN CU",AUGUST,3800.0
"FIREFIGHTERS FIRST FCU",MAY,3800.0
"MICHIGAN STATE UNIVERSITY FCU",JULY,3800.0
"AMERICAN AGCREDIT, ACA",APRIL,3719.89583333333
"HAWAII CENTRAL FCU",MAY,3649.29
"STATE BANK OF SOUTHERN UTAH",MAY,3590.5
"MIDFIRST BANK",APRIL,3500.0
"AMERICAN LENDING CENTER",AUGUST,3460.0
"TOUCHMARK NATIONAL BANK",APRIL,3281.0
"THE CANANDAIGUA NATIONAL BANK AND TRUST COMPANY",MAY,3256.0
"EVOLVE BANK & TRUST",MAY,3100.0
"CLARE BANK, NATIONAL ASSOCIATION",APRIL,3051.0
"MIDAMERICA NATIONAL BANK",APRIL,2972.0
"SMALL BUSINESS BANK",JULY,2940.0
"FINWISE BANK",APRIL,2900.0
"MECHANICS BANK",APRIL,2865.0
"VALLEY ISLE COMMUNITY FCU",JULY,2756.9725
"COAST CENTRAL CU",MAY,2742.0
"FIRST COMMUNITY BANK",APRIL,2659.76423076923
"ALASKA USA FCU",JULY,2623.0
"CENTRAL PACIFIC BANK",JULY,2447.5
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",JULY,2412.0
"OPPORTUNITY FUND COMMUNITY DEVELOPMENT",MAY,2300.0
"HIAWATHA NATIONAL BANK",MAY,2230.0
