City,JobTitle,COUNT(LoanAmount)
WAIANAE,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",9
WAIANAE,"OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING",9
WAILEA,"ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES)",9
WAILEA,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",9
WAILUKU,"INSURANCE AGENCIES AND BROKERAGES",9
WAILUKU,"JANITORIAL SERVICES",9
WAIPAHU,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",9
WAIPAHU,"NAIL SALONS",9
WAIPAHU,"OFFICES OF OPTOMETRISTS",9
AIEA,,8
AIEA,"ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES)",8
AIEA,"OFFICES OF CHIROPRACTORS",8
AIEA,"RELIGIOUS ORGANIZATIONS",8
AIEA,"SPORTS AND RECREATION INSTRUCTION",8
"EWA BEACH","OTHER ACTIVITIES RELATED TO REAL ESTATE",8
HAIKU,"ALL OTHER PERSONAL SERVICES",8
HALEIWA,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",8
